年度,檢體名稱,抽樣廠商名稱,抽樣廠商地址,產地,重金屬檢測殘留量鎘含量_單位ppm,重金屬檢測殘留量汞含量_單位ppm,重金屬檢測殘留量鉛含量_單位ppm,重金屬檢測殘留量無機砷含量_單位ppm,檢驗結果
108,白米(日本牛奶皇后),全聯實業股份有限公司桃園建國分公司,桃園市桃園區三民路3段518號1樓,臺灣,0.05,,,0.05,合格
108,白米(日本一番米),全聯實業股份有限公司桃園建國分公司,桃園市桃園區三民路3段518號1樓,日本,0.05,,,0.07,合格
108,臺灣大米,臺灣楓康超市股份有限公司太平分公司,臺中市太平區新光里樹德路67-1號,臺灣,0.09,,,0.07,合格
108,白米,來來超商股份有限公司第150分公司,臺中市西區南屯路一段49-1號1樓,臺灣,,,,0.09,合格
108,白米,彰化百貨股份有限公司和美分公司,彰化縣和美鎮竹營里德美路271號,臺灣,,,,0.07,合格
108,蓬萊米,森村米店,彰化縣鹿港鎮永安里民族路2號,臺灣,0.04,,,0.07,合格
108,白米(台南16號),雲林縣林內鄉農會碾米廠,雲林縣林內鄉林中村瑞農路23號,臺灣,0.06,,,0.07,合格
108,白米(台稉九號米),油車文化商號,雲林縣二崙鄉油車村文化路247號,臺灣,,,,0.06,合格
108,白米,三商家購股份有限公司嘉義義竹分公司,嘉義縣義竹鄉六桂村171-1號,臺灣,0.02,,,0.06,合格
108,稉型白米,三商家購股份有限公司嘉義義竹分公司,嘉義縣義竹鄉六桂村171-1號,臺灣,0.08,,,0.04,合格
108,白米(台農七一號),臺南市後壁區農會,臺南市後壁區後壁里97號,臺灣,0.03,,,0.03,合格
108,白米(蓬萊),臺南市後壁區農會,臺南市後壁區後壁里97號,臺灣,0.04,,,0.04,合格
108,食米,承恩建設股份有限公司(新竹豐邑喜來登大飯店 ),新竹縣竹北市光明六路東1段265號,臺灣,0.06,,,0.06,合格
108,履歷三好米,顛丘餐飲有限公司(阿官火鍋竹北店),新竹縣竹北市自強南路111號,臺灣,0.05,,,0.06,合格
108,糙米,苗栗縣後龍鎮農會農特產品展售中心,苗栗縣後龍鎮中龍里車站街139-3號,臺灣,0.04,,,0.14,合格
108,臺灣の米,智記商店,苗栗縣銅鑼鄉銅鑼村銅鑼街19號,臺灣,0.09,,,0.1,合格
